message,spam
Hallo  suchen Test  12Personen,1
Gibt es Ofenkäseöfen vor Ort ?,1
Bitte noch 5 Tage bleiben dürfen,1
dffddffddfdf,1
"Hallo,  ich möchte kein Zimmer bei ihnen.  Geil, wa?   Römtömtömtöm tömtöm.  Grüssen sie denjenichen.",1
"Guten Tag, ist mein Sohn der Rainer noch bei Ihnen ? Kann den Bengel nicht erreichen!  Die Polizei sucht ihn weil in seinem Zimmer Kinderpornos gefunden wurden.",1
Haben Sie Ofenkäse im Angebot?,1
"Meddl Uwe,    der dicke oben ist dein Untergang.     Liebe Grüße,   Die Neue Weltordnung.",1
"Hi Uwe,  schmeiß den Rainer raus, sonst wird es Konsequenzen für dich und deine Pension geben. Ich komm mit 15 Mann und dann wirst du gefesselt und in deiner Bude niedergebrannt. Am Besten du machst ein Video auf YouTube und distanzierst dem vom Drachenlord, sonst  gibts Ärger.  gruSS Dennis Leiffels",1
"Anfrage: Sehr geehrte Damen und Herren, Sehr geehrte Partner,  Wir suchen für unseren Kunden eine Unterkunft für 1 Person Wünsche zur Ausstattung der Unterkunft: Die Unterkunft sollte über eine Parkmöglichkeit verfügen. Wenn Sie freie Kapazitäten haben, senden Sie uns ein Angebot.  Mit freundlichen Grüßen Ihr www.hotel-hostel.de Team Peter Kolar Buchungsmanager  HHS Hotel Hostel Service GmbH & Co. KG  Zinzendorfstr. 4 01445 Radebeul b. Dresden +49 351 838 04 136  Wir sind Ihr Partner für: PMS-Hotel Software – Check-In Terminals - Schließsysteme. Sie können Ihre Unterkunft kostenlos auf unserem Buchungsportal anmelden und Direktbuchungen in Echtzeit erhalten:  https://software.hotel-hostel.de",1
Cfdfff,1
"Meddl du Kaschber,    du lässt erstnthaft jemand bei dir wohnen, der eine 3 Jährige sexuell belästigt haben soll?     Was ist bei dir in der Birne denn los?!",1
"Guten Tag,    ich würde gerne ein Zimmer in Ihrer Unterkunft beziehen. Ich habe vor, ein paar Ogers zu jagen. Hoffentlich beherbergen Sie bei sich keine fetten widerlichen pedo Ogers.    Freundliche Grüße  Oger Jäger",1
"Moin moin, würde gerne übers Wochenende ein Zimmer mieten. Mit deutschen Jens Rothe",1
"Ich benötige evtl. Für ca. 3Monate ein Einzel Zimmer.  Da ich noch eine Immobilie ehemalige Gaststätte in Bad Salzuflen habe die ich verkaufen möchte. Da dort ein Wasserschaden während des Leerstand entstanden ist. Klage ich im Moment vor Gericht in Bielefeld .  Damit die Immobilie wieder zum Verkauf hergerichtet  wird. Ich vermute mit Gericht und Herstellung dauert es ca. 3 Monate.  Wenn Sie etwas frei haben , würde ich mich freuen.  Ich bin ein 76 Jähriger Rentner. Von Beruf bin ich DIPL.- Bauingenieur könnte mir das Objekt in dieser Woche ansehen.  Zecks Termin können sie mich anrufen oder eine Mail schicken. Der Monatspreis würde von mir immer am  ERSTEN EINES  Monats bezahlt. Da meine Rente auf Grund eine Auslandskonto immer am ERSTEN eines Monats  gebucht wird.  Mit freundlichen Grüßen  Manfred FIALA",1
Ich suche Ort für große Bum Bum Bang Bang Party.  Mache große Orgie mit viel Lack & Leder.  Kollega sagt du machst SM-Vermietung mit Peitsche und Ketten?  Soll richtig knallen die Party.  Brauchen täglich Reinigung intensiva - Tatort-Reinigung und Schädlingsbekämpfigung,1
Test Leo,1
20,1
555,1
monteurunterkunft.unterkunft-5rw4g.top/wb/buchung/einloggen.php,1
"Hallo,   Vater und zwei Kinder (9, 14) suchen übernachtung in München?    Danke",0
"Sehr geehrte Damen und Herren,   Mit großem Interesse habe ich Ihre Anzeige gelesen und würde gerne wissen, ob ein Zimmer von 08.06.24 bis 09.05.2024 für 2- erwachsene zur Verfügung stehen könnte.  Danke im Voraus   Mit freundlichen Grüßen",0
"Hi,  wir sind auf der Suche nach mehrere Unterkünfte für die Mitarbeiter eines internationalen Unternehmens in Salzgitter und Umgebung.  Wie viele Zimmern oder Wohnungen haben Sie aktuell in Verfügung?   Wir würden uns über detaillierte Informationen zu verfügbaren Wohnungen freuen.     Ich freue mich auf Ihre Rückmeldung.      Mit freundlichen Grüßen  Beti",0
"Guten Tag,  ich möchte gerne ein Einzelzimmer für 3 Nächte im Lichtenrade buchen. Bitte informieren Sie mich über Preis und Verfügbarkeit.  Vielen Dank!",0
"Hallo,  Wir suchen ein Doppelzimmer.  Höre gerne von Ihnen.  Gr. Piet",0
ich frage unverbindlich an für mich 1 Frau ein günstiges einzelzimmer oder kleine apartement,0
"Ich interessiere mich für diesen Raum, kann ich weitere Informationen erhalten?",0
"Unsere Kinder sind 2 und 7 Jahre alt und schlafen bei ihren Müttern im Bett.   Die 4.Person ist nur 2 Nächte da.   Wäre es möglich Nachts einzuchecken? Ca1-2 Uhr?  Wir würden gerne, wegen den Kindern, Abends los fahren und die geschätzte Fahrzeit liegt bei 7Stunden. Was wären hier die Gesamtkosten?    Wir würden uns sehr über eine positive Rückmeldung  freuen!    Freundliche Grüße     Jasmin Ruf",0
"Hallo,  ich bräuchte ein DZ für zwei Personen (Handwerker) ab dem 28. Mai für 10 Max 14 Tage.  Haben Sie vielleicht auch noch etwas   günstigeres als 30 Euro pro Nacht? Wo befindet sich das Zimmer (Lage in Berlin)?    Herzlichen Dank für einen kurze  Rückmeldung!  Silvia Woskowski",0
"Entscheidung noch offen, ist vom Baustellenfortschritt abhängig.  Genaueres heute, später Nachmittag.  MfG P.Richter",0
"Guten Morgen,  Ich würde gerne wissen ob Ihre Unterkunft vom 28.5-31.5.24 für 2 Personen noch zur Verfügung steht?  Mit freundlichen Grüßen   Chris Daniel",0
Eine 4-5 Tage-Woche wäre bei Arbeitsbeginn geplant,0
"Sehr geehrter Herr Hilario,  mein Name ist Alisa Ota-Tietböhl und ich wohne in Tokyo, Japan. Meine Familie und ich planen einen 3 wöchigen Urlaub in Bonn. Ich bin in Bonn geboren und aufgewachsen. Ich interessiere mich für Ihre Wohnung und wollte fragen, ob wir diese buchen für den Zeitraum vom 29.07.2024-21.08.2024 buchen können? Unsere Tochter wird zu dem Zeitpunkt 19 Monate sein. Ein Kinderbett brauchen wir nicht, dass sie seit Geburt mit bei uns im Bett schläft. Da die Zimmer als Monteurwohnungen gekennzeichnet sind, bin ich mir nicht sicher ob Sie die an Familien vermieten. Daher die E-mail. Ich würde mich freuen, wenn es klappt. Fall Sie mehr Informationen brauchen, bitte gerne anschreiben.   Ich freue mich auf Ihre Rückmeldung.  Mit freundlichen Grüßen,  Alisa Ota-Tietböhl",0
"Hallo, wie suchen für zwei Handwerker ab Dienstag eine Übernachtung bis zum 11.06.24 mit Verlängerung . Mfg Anna Ziegler",0
"Hallo, ich suche ab dem 1. Juni 2024 für einen Zeitraum von ein bis zwei Jahren ein Zimmer mit Zugang zur Küche, bitte antworten Sie auf meine E-Mail",0
Wir suchen für unsere Mitarbeiter Wohnungen in Frankfurt/Main Zusätzlich noch 2 Einzelzimmer. LG DialogDirect GmbH,0
Tylko mieszkanie,0
"Sehr geehrter Herr Marzban,  mein Name ist Alisa Ota-Tietböhl und ich wohne in Tokyo, Japan. Meine Familie und ich planen einen 3 wöchigen Urlaub in Bonn. Ich bin in Bonn geboren und aufgewachsen. Ich interessiere mich für Ihre Wohnung und wollte fragen, ob wir diese buchen für den Zeitraum vom 29.07.2024-21.08.2024 buchen können? Unsere Tochter wird zu dem Zeitpunkt 19 Monate sein. Ein Kinderbett brauchen wir nicht, dass sie seit Geburt mit bei uns im Bett schläft. Da die Zimmer als Monteurwohnungen gekennzeichnet sind, bin ich mir nicht sicher ob Sie die an Familien vermieten. Daher die E-mail. Ich würde mich freuen, wenn es klappt. Fall Sie mehr Informationen brauchen, bitte gerne anschreiben.   Ich freue mich auf Ihre Rückmeldung.  Mit freundlichen Grüßen,  Alisa Ota-Tietböhl",0
"Sehr geehrter Frau Simone Bremm,  mein Name ist Alisa Ota-Tietböhl und ich wohne in Tokyo, Japan. Meine Familie und ich planen einen 3 wöchigen Urlaub in Bonn. Ich bin in Bonn geboren und aufgewachsen. Ich interessiere mich für Ihre Wohnung und wollte fragen, ob wir diese buchen für den Zeitraum vom 29.07.2024-21.08.2024 buchen können? Unsere Tochter wird zu dem Zeitpunkt 19 Monate sein. Ein Kinderbett brauchen wir nicht, dass sie seit Geburt mit bei uns im Bett schläft. Da die Zimmer als Monteurwohnungen gekennzeichnet sind, bin ich mir nicht sicher ob Sie die an Familien vermieten. Daher die E-mail. Ich würde mich freuen, wenn es klappt. Fall Sie mehr Informationen brauchen, bitte gerne anschreiben.   Ich freue mich auf Ihre Rückmeldung.  Mit freundlichen Grüßen,  Alisa Ota-Tietböhl",0
oder 08.07.2024 bis12.07.2024,0
"Guten Tag, ich habe IhreUnterkunft bei Monteurunterkunft.de gefunden. (Gemütliche Wohnungen mit Parkplätzen (nahe Bahnhof) 83395 Freilassing) Ich wollte fragen ob ich eine Unterkunft für 5 Personen vom 2.6.24 bis zum 14.6.24 bei Ihnen miten kann?",0
"Hallo, ich suche Unterkunft fur 2 Personen von 26.5.2024 - 02.06.2024- mit Option zum verlängern. Angebot per email bitte. Danke Michal Gelhos",0
"Uns reicht ein Doppelzimmer, da unser Sohn erst 9 Monate alt ist.",0
"Guten Tag, ich habe IhreUnterkunft bei Monteurunterkunft.de gefunden.  Ich wollte fragen ob ich eine Unterkunft für 5 Personen vom 2.6.24 bis zum 14.6.24 bei Ihnen mieten kann?",0
"Ich wollte gestern bereits buchen und überweisen, wie abgesprochen.   Habe auf der Bank auf die Rechnung gewartet.  Nichts passiert. Keiner erreichbar.    Melden Sie sich noch?",0
"Hallo ich komme in Karlsruhe von 02.06 bis 15.06 für Arbeiten.  Ich heisse László und kommen aus Ungarn,ich bin sauber und pünktlich.  Ich kann sprecht deutsch und english auch.  Danke für deine Antwort und ich wünsche einen schönen Tag noch.  László",0
"Hallo, ich bin daran interessiert, ein Zimmer für einen Zeitraum von 6 Monaten zu mieten. Ist es möglich, den Preis für einen so langen Aufenthalt auszuhandeln?  Ich bin ein Crown-Mitarbeiter",0
"Hallo, wenn ich ein Zimmer für 6 Monate mieten muss, ist es dann möglich, den Preis auszuhandeln? Ich suche etwas direkt im seesen",0
"Hello,  I am a 20-year-old college student from Brown University in the US. I will visit Bonn this summer to take an internship at Bonn Uni and, therefore, am looking for a Monteurzimmer during my time here. I would like to book a single room between June 9th and August 21st near Bonn Zentrum (no extension needed). I do not smoke and am not bringing any pets with me. If there is a vacancy, please let me know with your quotes. Thanks!  Brian",0
"Hello,  I am a 20-year-old college student from Brown University in the US. I will visit Bonn this summer to take an internship at Bonn Uni and, therefore, am looking for a Monteurzimmer during my time here. I would like to book a single room between June 9th and August 21st (no extension needed). I do not smoke and am not bringing any pets with me. If there is a vacancy, please let me know with your quotes. Thanks!  Brian",0
"Wir sind eine Deutsche Firma die mit Tiefbau in Essen arbeitet.   Wir suchen Übernachtung für unsere Mitarbeitern.   Die Leute sind gute erwachsene, saubere und ordentliche.      Wir suchen von 25.5.2024 - 8.6.2024",0
"Hallo,  ich suche für meine Tochter (16 Jahre) meiner Frau und ich eine Unterkunft für eine Nacht in der Nähe von Groß Dölln Driving Center.  bitte senden sie mir ein Angebot.  Mit freundlichen Grüßen  Fam. Hänselmann",0
"Guten Morgen, ( Sehr geehrter Vermieter),  ich bin auf der Suche nach einem Einzelzimmer in der Nähe von Suhl oder Schleusingen.  Darf ich fragen,  ob Sie zuffälig ein freies Einzelzimmer haben werden? Falls es vorhanden ist,  konnten Sie mir bitte einen Preis einfügen?   Im Voraus danke ich Ihnen für Ihre Antwort.   Mit freundlichen Grüßen   Katarína Bašková",0
"Hallo , besteht die Möglichkeit einer Monatsmiete ? Auch gern ohne Dusche und externer Stromkostenabrechnung.  Vorerst bis Jahresende.   Grüße",0
Guten Morgen   Habt ihr in dem Zeitraum noch was frei für mich ?    Grüße Marko Müller     Fernseher wieder heil?,0
"Guten Tag,    Ich suche eine Unterkunft im Zeitraum vom 17. Juni bis 30. August für 4-8 Personen. Haben Sie in den Regionen Leverkusen oder Köln noch verfügbare Wohnungen und wie ist der Preis?    Mit freundlichen Grüßen,  Stephany",0
"Sehr geehrte Damen und herren, ich bräuchte vorerst über den Zeitraum ein Einzelzimmer für die Woche jeweils, am we fahre ich nach Hause.   Mit freundlichen Grüßen   Florian timm",0
"Hallo, mein Mann arbeitet als Altenpfleger in Bitburg und sucht eine Unterkunft bis er eine geeignete Mietwohnung gefunden hat. Gibt es da eine Möglichkeit in Ihrem Haus? Wir sahen im Internet, dass Sie ein Einzelzimmer vermieten?   Mit freundlichen Grüßen   Urmes",0
"Hallo  Ich benötige eine Unterkunft für 5 Monteure, 5 Betten in einer Therme vom 26-29.05.2024  Hast du etwas frei?  Nahe 470608 Geldern",0
"Guten Tag,  Bitte teilen Sie mir mit, wo Sie sich in Landshut befinden und was der Preis für diese Zeit wäre.  Vielen Dank und noch einen schönen Tag,  Mit freundlichen Grüßen  Aloisia Luise Zimmermann",0
Hallo  Ich hätte geren ab den 26.5 2024 ein Einzel Zimmer für eine unsere Mitarbeiter.  Danke mit LG  Milan Kopeček,0
"Sehr geehrte Damen und Herren,   für unsere 4 Mitarbeiter suchen wir Unterküfte, wie folgend:   Umgebung:  Grünhufer Bogen 13, 18437 Stralsund,   Anreise:ab Dienstag 21.05.2024 bis 24.05.2024 Freitag- 3 Nächte mit der Möglichkeit einer Verlängerung   In Ewartung Ihrer Antwort verbleiben wir.   Mit freundlischen Grüßen   Ewa Potapczuk   ewa.p.bud@gmail.com   Kontakt: +49 17662566970",0
"Hallo, ich arbeite als Altenpfleger in 54634 Bitburg. Da es einen Brand in meiner Wohnung gab muss ich kurzfristig eine andere Unterkunft finden. Ein Monteurzimmer wäre als Übergangslösung perfekt. Mein Budget liegt bei circa 20 Euro pro Tag. Hätten Sie ein Zimmer frei?   Danke und freundliche Grüße,   Aasri",0
"Sehr geehrte Damen und Herren,   für unsere 4 Mitarbeiter suchen wir Unterküfte, wie folgend:   Umgebung:  Grünhufer Bogen 13, 18437 Stralsund,   Anreise:ab Dienstag 27.05.2024 bis 31.05.2024 Freitag- 4 Nächte mit der Möglichkeit einer Verlängerung   In Ewartung Ihrer Antwort verbleiben wir.   Mit freundlischen Grüßen   Ewa Potapczuk   ewa.p.bud@gmail.com   Kontakt: +49 17662566970",0
Guten Morgen   Habt ihr in dem Zeitraum noch was frei für mich ?    Grüße Marko Müller,0
"Hallo, wir sind daran interessiert, die gesamte Wohnung für 6 Monate zu mieten. Wir sind drei Elektriker und stellen die gesamte Unterkunft zur Verfügung",0
"Hallo, ich bräuchte für 1 Nacht eine Unterkunft.  Über eine Rückmeldung würde ich mich sehr freuen.  MfG Carola Gramsch",0
Hallo ich benotige ubernachtung zimmer fur 4 tag ab Morgen 25.05 bis 28.05 .24  Mit freundlichen Grüssen .  Ruth froehner,0
"Sehr geehrte Damen und Herren,  ist in dieser Zeit das schöne Appartement in Betzdorf noch frei?  Liebe Grüße aus Bielefeld  Andrea Buchen",0
"Hallo, ich bin auf der Suche nach einem kleinen Apartment zum Übergang 28.05-31.07 bis unsere ETW Wohnung bezugsfertig  für 3 Personen, 73,41 und 15 und 2 kleine Yorkshire Terrier.     Mfg",0
"Sehr geehrte Damen und Herren,  wir sind auf der Suche nach Unterkunft für 2 Personen in Münster ab dem 27.05.24-erstmal bis 09.06.24, bitte senden Sie uns ein Angebot zu.  Mit freundlichen Grüßen,  Izabela Tuzinska",0
Möchte anfragen ob ein Einzelzimmer  frei wäre    Mit freundlichen Grüssen  Petra Maerkens,0
"Hallo,  Bitte für den oben genannten Zeitraum  Eine Unterkunft mit guter Verkehrsanbindung bereitstellen. Eventuell auch über den genannten Zeitraum hinaus.    Gruss Herr Redel",0
"Czy od 01.06.24 pokój jednoosobowy jest dostępny. Wynajem dla mnie przez firmę. Pobyt co najmniej 6 miesięcy. Proszę o cenę. Pokój będzie opłacany raz w miesiącu z góry, przez moją firmę. Pozdrawiam",0
Hallo sind die zwei Übernachtungen in diesem Zeitraum möglich?,0
"Hallo. Ich suche eine Unterkunft für unsere Mitarbeiter vom 7. bis 17. Juni. bevorzugt 4 Doppelzimmer, aber auch eine andere Belegung ist möglich.  Bitte teilen Sie mir mit, ob Sie in diesen Zeitraum uber freie Plätze verfugen. mfG Tomasz Hamczyk F-a Unicorn.  mob 015771801301",0
Mehrabi,0
ab So. 27.05.2024 - 2 Personen  ab Mi. 29.05. 2024 - 5 Personen    Haben Sie eventuell was frei?  MfG  Raif,0
"Sehr geehrte Damen und Herrn,  sind Hunde erlaubt?",0
"Hallo,  suche Unterkunft fur 2 Mitarbeiter,  deren Einsatzort Braak ist.",0
"Guten Tag , wie soeben telefonisch vereinbart die Anfrage noch einmal wegen dem Einzelzimmer bis Ende des Jahres. Mit dem Angebot monatlich 650,00 Euro zu zahlen, sind wir einverstanden. Der Abschlag wäre monatlich. Voraussichtlich wird der Mitarbeiter bis Ende des Jahres eingesetzt.   Könnten Sie mir von beiden Wohnungen einmal die Bllder zukommen lassen? Dann würden wir uns für eine entscheiden. Ich bitte um eine zeitnahe Antwort.   Mit freundlichen Grüßen    S.Neumann  DS-Pipeline",0
"Guten Tag,  Wir ein erwachsener Paar möchten gerne 1 Woche von 01.06 bis 08.6 2024 verbringen",0
Guten Tag    haben Sie in dieser Zeit Zimmer für 2 frei.   Mit Möglichkeit einer Verlängerung.    Schreiben Sie mir bitte bald zurück.,0
"Guten Tag, ist die Wohnung mit Parkplatz?  Danke   LG Norbert",0
"Sehr geehrte Damen und Herren,  wir möchten gerne die Wohnung von Donnerstag bis Samstag kommende  reservieren.   Mit freundlichen Grüßen    Block Trockenbau  i.a. Bobeanu",0
Hallo ich will diese Zimmer mieten bitte Rückmelden Sie.,0
Ich suche ein Zimmer in Mainz Gonsenheim für diesen Zeitraum.,0
"HALLO .Wir  sind 2 Erwachsene..... ich habe oben das Feld nicht verändern können ?? Wir würden gerne eine Übernachtung mit Frühstück buchen...., welcher Preis wäre das bei Ihnen ...LG K.Schütze",0
"Verbindliche Buchung 4 Wochen    Sehr geehrter Herr Tschirpke,     heute Morgen stellte der Notdienst fest, dass im Bad die Feuchtigkeit UNTER den Bodenfliesen in die Decke eingedrungen ist.   Momentan werden ALLE Fliesen ENTFERNT und DANACH ab ca. 17:00/17:30 kommen die Heißluft-Gebläse.   VORAUSSICHTLICH ist das Bad/WC für 4-6 WOCHEN nicht benutzbar, da auch die linke Wand  mit der lecken Leitung neu verputzt und 2,50x2,20m  gefliest werden muss.   Meine Bitte:  Könnten sie mir bitte einen MONATS-Mietzins machen, den ich der Versicherung nennen kann (ich benötige eine Rechnung!).   Die Kosten für das Zimmer werden von der HAUSRAT übernommen.     Momentan gehe ich davon aus, dass die Abbruch-Arbeiten bis 18:00/19:00h weiter gehen (Freilegen nasse Wand)    Würde es sie sehr stören, wenn ich erst gegen 19:00/19:30h den Schlüssel abholen würde?   Ich hinterlege meinen Ausweis bis zur Erstellung des Mietvertrags/Rechnung!  Ich muss Sonntag gleich um 7:00h wegen der Ventilatoren zur Baustelle und bin Sonntag erst spät wieder da (Kleidung/Lebensmittel Rettung)  MONTAG morgen würde ich dann zur Vertrags-Unterschrift, Rechnung (Quittung), Bezahlen (BARZAHLUNG pro Woche im Voraus?) zu ihnen kommen.   Könnten sie bis Montag ca. 11:00/12:00h den „PAPIERKRAM“ erledigen, danach lege ich mich mit einem alkoholfreien EICHBAUM auf die Terrasse! Das „ECHTE UREICH“ habe ich schon seit 15 Jahren AUFGEGEBEN…ALLERDINGS das Rauchen…naja, sie haben ja eine große Terrasse (Rauch in der Wohnung kann ich ÜBERHAUPT NICHT LEIDEN!  LG Michel Leyer        Vielen Dank  LG  IHR Michel Leyer",0
"Potreboval by som ubytovanie pre 2 monterov s kuchyňou, sprchou a práčkou. Od.26.5.2024- 1.6. 2024.",0
Guten Morgen.  Hätten Sie im oben genannten Zeitraum Kapazität für einen unserer Monteure?,0
Ich suche für mich und meine Frau in der nähe von Boltenhagen eine Unterkunft Ein Doppelzimmer wäre schön inder zeit vom 21.06.2024 oder28.06.2024 Mfg A.Rohmann,0
"Hallo,   haben Sie für die Nacht vom 31.7. - 01.06. ein Zimmer für eine Person frei?   Viele Grüße",0
"Hallo,   Ich würde die Wohnung für mich alleine von den 27.5 bis zum 14.6 nehmen.   Ich habe einen beruflichen einsatz in dem DHL Paketzentrum in Strom. Bezahlen würde ich mit der Firmenkarte und die Rechnung würde auf die Firma gehen.  Neven Vlajic,  Fahrner Intralogistics GmbH",0
"Sehr geehrte Damen und Herren, hiermit wollte ich nachfragen, ob sie vom 20.7. auf den 21.7.2024 eine Übernachtungsmöglichkeit für drei Radwanderer haben? Zwei Erwachsene und ein Teenager (13 Jahre).  Liebe Grüße Inga Schrader",0
"Sehr geehrte Fam. Siedersberger,  ich bin für den o.g. Zeitraum, auf der Suche nach einem Zimmer/Apartment mit Kochgelegenheit und Balkon.  Habe überwiegend im Großraum Niederbayern Joblich zutun.  Freue mich über eine Rückantwort von Ihnen.  Danke.  Mit besten Grüßen  Christine Heller",0
Buchungsanfrage,0
"Sehr geehrte Fam.Renner,  ich bin für den o.g. Zeitraum, auf der Suche nach einem Zimmer/Apartment mit Kochgelegenheit und Balkon. Kann Sie leider weder über Handy noch Festnetz erreichen, deshalb dieser Weg:-))  Habe überwiegend im Großraum Niederbayern Joblich zutun.  Freue mich über eine Rückantwort von Ihnen.  Danke.  Mit besten Grüßen  Christine Heller",0
Hallo wir bräuchten 2 Einzelzimmer   Bitte um Rückmeldung,0
"Guten Tag,  Ich bräuchte ein Zimmer für einen Gast von mir. Er würde am 27.05.24 einreisen und fürs erste bis zum 1.6.24 bleiben. Ich bitte um dringende Rückmeldung. Danke.",0
"Sehr geehrte Damen und Herren ,    Ich benötige eine Zimmer für meine Monteure bis 9.06  so schnell es möglich d.h ab heute oder ab Montag",0
bin nach einer räumung obdachlos und suche dringend  eine unterkunft,0
